241 201
215 222 50
71 187 1
91 119 1
80 178 1
83 92 1
97 146 1
100 122 1
64 103 1
163 196 52
91 235 1
99 238 1
158 171 52
113 206 1
199 224 51
92 191 1
49 96 1
120 183 1
105 233 1
85 159 1
68 185 1
64 114 1
102 153 1
37 95 1
189 200 60
37 165 1
59 75 1
106 180 1
60 97 1
66 125 1
43 119 1
201 219 60
150 160 52
21 224 1
21 212 1
113 194 1
125 175 52
132 211 54
35 58 1
72 139 1
1 161 1
153 238 55
183 224 59
40 156 1
11 79 1
172 201 59
88 200 1
39 200 1
20 73 1
157 217 58
58 172 1
214 219 51
92 169 1
68 183 1
13 146 1
7 10 1
4 37 1
34 39 1
131 241 56
47 69 1
43 176 1
136 137 58
78 178 1
28 144 1
111 239 1
230 233 57
107 206 1
107 137 1
16 237 1
138 152 53
54 221 1
171 239 60
82 93 1
72 226 1
100 180 1
86 215 1
75 121 1
77 228 1
219 241 55
15 129 1
43 89 1
210 220 59
45 219 1
55 234 1
22 202 1
61 143 1
23 186 1
36 165 1
89 213 1
137 166 58
83 109 1
117 227 1
134 142 52
48 50 1
184 210 54
42 150 1
87 237 1
79 119 1
117 127 1
216 232 59
102 168 1
38 43 1
215 221 55
20 229 1
89 175 1
93 189 1
39 54 1
69 121 1
72 88 1
53 176 1
215 224 54
119 168 1
105 117 1
58 75 1
53 84 1
105 133 1
94 239 1
24 39 1
85 154 1
98 232 1
112 214 1
153 239 56
103 128 1
176 214 59
40 184 1
13 180 1
25 34 1
3 164 1
133 185 54
184 213 51
190 237 60
45 228 1
20 26 1
93 125 1
17 239 1
118 212 1
96 205 1
62 235 1
17 185 1
44 96 1
73 177 1
209 228 54
5 157 1
212 223 56
56 60 1
132 234 58
13 173 1
20 158 1
6 178 1
186 195 58
59 212 1
66 142 1
27 206 1
94 134 1
180 211 55
11 86 1
78 178 1
113 145 1
236 238 55
34 107 1
117 145 1
19 60 1
79 143 1
153 240 53
141 214 58
175 193 58
93 192 1
59 140 1
187 223 60
96 185 1
57 224 1
31 134 1
62 68 1
201 224 56
179 188 57
223 227 59
157 239 51
59 120 1
83 116 1
5 207 1
233 241 52
10 226 1
39 57 1
115 139 1
72 116 1
176 216 58
34 136 1
223 224 54
47 80 1
58 211 1
87 148 1
87 108 1
38 201 1
60 105 1
46 108 1
65 141 1
123 200 60
176 237 50
63 210 1
49 158 1
46 167 1
120 186 1
274
