Total Cost: 900149
Resources in Requisition:
Resource Name: AirConditioner, Quantity: 17, Unit Cost: 630
Resource Name: AirPurifier, Quantity: 7, Unit Cost: 294
Resource Name: Alarm, Quantity: 8, Unit Cost: 695
Resource Name: Amplifier, Quantity: 22, Unit Cost: 801
Resource Name: CPU, Quantity: 14, Unit Cost: 808
Resource Name: Cabinet, Quantity: 8, Unit Cost: 866
Resource Name: Cable, Quantity: 1, Unit Cost: 732
Resource Name: Chair, Quantity: 2, Unit Cost: 288
Resource Name: Composter, Quantity: 7, Unit Cost: 541
Resource Name: Desk, Quantity: 13, Unit Cost: 134
Resource Name: Door, Quantity: 25, Unit Cost: 589
Resource Name: Doorbell, Quantity: 5, Unit Cost: 123
Resource Name: Earphones, Quantity: 8, Unit Cost: 415
Resource Name: Fan, Quantity: 95, Unit Cost: 800
Resource Name: Fax, Quantity: 21, Unit Cost: 627
Resource Name: FitnessTracker, Quantity: 10, Unit Cost: 586
Resource Name: GPS, Quantity: 1, Unit Cost: 952
Resource Name: GPU, Quantity: 5, Unit Cost: 942
Resource Name: GarageDoor, Quantity: 24, Unit Cost: 38
Resource Name: HardDisk, Quantity: 42, Unit Cost: 886
Resource Name: Headphones, Quantity: 14, Unit Cost: 423
Resource Name: Heater, Quantity: 9, Unit Cost: 836
Resource Name: Hub, Quantity: 6, Unit Cost: 921
Resource Name: IrrigationController, Quantity: 26, Unit Cost: 33
Resource Name: Keyboard, Quantity: 26, Unit Cost: 480
Resource Name: LawnMower, Quantity: 11, Unit Cost: 707
Resource Name: LightBulb, Quantity: 17, Unit Cost: 705
Resource Name: Mailbox, Quantity: 1, Unit Cost: 903
Resource Name: Mainframe, Quantity: 4, Unit Cost: 997
Resource Name: Microphone, Quantity: 23, Unit Cost: 607
Resource Name: Motherboard, Quantity: 1, Unit Cost: 461
Resource Name: PackageDeliveryBox, Quantity: 25, Unit Cost: 862
Resource Name: PetBed, Quantity: 42, Unit Cost: 402
